,x,y_target,y_pred
0,-1.0,1.529077,1.13283
1,-0.97979796,1.6600158,0.9831518
2,-0.959596,-0.46854496,0.83346975
3,-0.93939394,1.8372226,0.6837896
4,-0.9191919,-0.43820715,0.53410566
5,-0.8989899,0.40358138,0.3844236
6,-0.8787879,-0.97371006,0.33931482
7,-0.85858583,1.1745653,0.39634168
8,-0.83838385,1.7630858,0.4533714
9,-0.8181818,-1.4672563,0.5103973
10,-0.79797983,1.7383924,0.5674261
11,-0.7777778,0.3743186,0.6244539
12,-0.75757575,1.4776177,0.68148077
13,-0.73737377,0.27086115,0.73851
14,-0.7171717,0.9643762,0.6312307
15,-0.69696975,-0.282382,0.5027517
16,-0.6767677,1.5417717,0.37427557
17,-0.65656567,0.29561782,0.24579848
18,-0.6363637,-0.9336798,0.11731805
19,-0.61616164,0.5097966,-0.011157617
20,-0.5959596,-0.92147326,-0.13963805
21,-0.5757576,-0.23454571,-0.2681147
22,-0.5555556,-0.81231666,-0.3965956
23,-0.53535354,1.3267419,-0.5250708
24,-0.5151515,-1.5787404,-0.6535512
25,-0.4949495,-0.9220207,-0.69323695
26,-0.47474745,-0.5647495,-0.60303175
27,-0.45454544,-1.2025449,-0.5128261
28,-0.43434343,0.18876624,-0.4226185
29,-0.41414142,-1.9753582,-0.33241093
30,-0.39393938,1.8062181,-0.24220763
31,-0.37373737,-1.6989365,-0.15200244
32,-0.35353535,1.5440547,-0.061797008
33,-0.33333334,0.3328383,0.028408423
34,-0.3131313,-0.64940906,0.11861648
35,-0.2929293,1.2358999,0.20882167
36,-0.27272728,0.31170154,0.2990297
37,-0.25252527,1.6159267,0.38923252
38,-0.23232323,0.21863937,0.4794408
39,-0.21212122,-0.63074636,0.56964815
40,-0.19191921,0.53736734,0.65985394
41,-0.17171718,-0.5423589,0.75005853
42,-0.15151517,0.8417151,0.84026396
43,-0.13131315,1.7856443,0.93046916
44,-0.11111113,1.1561191,0.9821454
45,-0.09090911,-0.87434506,0.6416745
46,-0.07070708,1.1545293,0.3012005
47,-0.050505072,0.35785246,-0.03926836
48,-0.030303001,1.0156701,-0.37974155
49,-0.010100981,-1.2190101,-0.72021496
50,0.010101039,-1.9798169,-1.0606865
51,0.030303061,-0.77272105,-0.8749777
52,0.05050508,-1.5340457,-0.35209072
53,0.0707071,1.6410778,0.36073244
54,0.09090912,0.5760627,0.68684506
55,0.111111134,0.8284271,0.77730095
56,0.13131315,0.63252234,0.58019745
57,0.15151517,-0.034791946,0.38309252
58,0.17171718,1.5652165,0.18598832
59,0.19191921,-1.4210272,-0.0111151785
60,0.21212122,0.12592745,-0.20821963
61,0.23232324,-1.3650804,-0.40194046
62,0.25252527,0.616704,-0.3398198
63,0.27272728,-0.6887646,-0.27769816
64,0.2929293,0.61283255,-0.21557866
65,0.3131313,-0.41668296,-0.1534587
66,0.33333334,1.6587837,-0.091339454
67,0.35353535,-1.1854038,-0.02921687
68,0.37373737,-1.192796,0.032903567
69,0.39393938,-1.192868,0.15238656
70,0.41414142,1.7988856,0.27202213
71,0.43434343,0.66650224,0.39165866
72,0.45454544,1.9245014,0.11426009
73,0.47474745,-1.6505525,-0.4348904
74,0.4949495,-1.9837523,-0.98333895
75,0.5151515,-1.5647275,-0.7765709
76,0.53535354,-1.3453782,-0.56863797
77,0.5555555,0.8100803,-0.36070788
78,0.57575756,0.7161517,-0.15277825
79,0.59595954,1.6618488,-0.11942445
80,0.6161616,-1.0328507,-0.087080106
81,0.6363636,-1.3634236,-0.054737195
82,0.6565656,1.0611563,-0.023316488
83,0.67676765,-0.808409,-0.035851583
84,0.6969697,1.2138476,9.3355775e-05
85,0.71717167,-0.47460127,0.036377326
86,0.7373737,1.1440918,0.072657004
87,0.75757575,-1.553936,0.10893668
88,0.7777778,-1.0092995,0.14522018
89,0.79797983,0.6097529,0.18150558
90,0.8181818,0.42281508,0.21778335
91,0.83838385,-0.5099175,0.25406492
92,0.8585859,1.1921389,0.29035127
93,0.8787879,1.3596184,0.32633245
94,0.8989899,-1.4503467,0.07702769
95,0.91919196,-1.0677364,-0.17256127
96,0.93939394,1.8313239,-0.4221512
97,0.959596,-0.674865,-0.6717392
98,0.97979796,-0.7090328,-0.92132914
99,1.0,-1.9351892,-1.1709172
